Phase,Module,ID,User Story,Acceptance Criteria,Priority,Depends On
Phase 1 - Foundation,Auth & Access,AUTH-01,Sebagai user saya ingin register akun agar bisa login ke sistem,"Endpoint register menerima email/password/fullName/phone; validasi min 8 karakter; response 201 dengan data user",High,-
Phase 1 - Foundation,Auth & Access,AUTH-02,Sebagai user saya ingin login dan menerima access token agar bisa mengakses endpoint terproteksi,"Endpoint login mengembalikan accessToken; salah password mengembalikan 401",High,AUTH-01
Phase 1 - Foundation,Auth & Access,AUTH-03,Sebagai user saya ingin melihat data profil saya sendiri (me) agar tahu identitas & role saya saat ini,"Endpoint /me mengembalikan data user + role; tanpa token mengembalikan 401",High,AUTH-02
Phase 1 - Foundation,Auth & Access,AUTH-04,Sebagai kasir saya ingin login cepat pakai PIN di layar kasir agar tidak perlu ketik password tiap shift,"PIN 4-6 digit terhubung ke akun user; salah PIN 3x terkunci sementara",Medium,AUTH-02
Phase 1 - Foundation,Auth & Access,RBAC-01,Sebagai admin saya ingin mengatur role & permission granular agar kontrol akses sesuai tanggung jawab tiap posisi,"Tabel roles & permissions berfungsi; endpoint API menolak akses tanpa permission terkait",High,AUTH-02
Phase 1 - Foundation,Master Data,OUTLET-01,Sebagai admin pusat saya ingin membuat & mengelola data outlet agar sistem siap dipakai multi-cabang,"CRUD outlet; field pb1_rate & service_charge_rate bisa diisi per outlet",High,AUTH-04
Phase 1 - Foundation,Master Data,MENU-01,Sebagai admin saya ingin mengelola kategori & menu agar kasir bisa menjual item yang benar,"CRUD kategori & menu; menu bisa non-aktifkan tanpa dihapus",High,OUTLET-01
Phase 1 - Foundation,Master Data,MENU-02,Sebagai admin saya ingin mengatur harga menu berbeda per outlet agar sesuai kebijakan harga lokal,"Tabel menu_prices berfungsi; harga bisa berbeda antar outlet untuk menu yang sama",High,MENU-01
Phase 1 - Foundation,Master Data,TABLE-01,Sebagai admin/supervisor saya ingin mengatur data meja per outlet agar kasir bisa memilih meja saat buka order,"CRUD meja; tiap meja punya qr_code_token unik",Medium,OUTLET-01
Phase 2 - Core Order Flow (Online),Shift,SHIFT-01,Sebagai kasir saya ingin membuka shift dengan input modal awal kas agar transaksi hari itu tercatat dalam konteks shift yang benar,"Endpoint buka shift menyimpan opening_cash & waktu buka",High,AUTH-04
Phase 2 - Core Order Flow (Online),Shift,SHIFT-02,Sebagai kasir saya ingin menutup shift dengan input kas fisik akhir agar sistem menghitung selisih otomatis,"closing_cash_actual dibandingkan closing_cash_expected; cash_difference tersimpan",High,SHIFT-01
Phase 2 - Core Order Flow (Online),Order,ORDER-01,Sebagai kasir saya ingin memilih tipe order (dine-in/takeaway) sebelum lanjut ke meja/menu agar alur order sesuai kebutuhan customer,"Pilih dine_in wajib lanjut pilih meja dulu; pilih takeaway langsung ke pilih menu tanpa meja; divalidasi FormRequest & CHECK constraint DB",High,SHIFT-01
Phase 2 - Core Order Flow (Online),Order,ORDER-01B,Sebagai kasir saya ingin memilih meja untuk order dine-in agar order tercatat di meja yang benar,"Hanya meja berstatus available yang bisa dipilih; order tersimpan status open, order_type=dine_in, table_id wajib terisi, terhubung ke shift_id kasir yang sedang aktif; meja otomatis berubah status jadi occupied",High,"ORDER-01,TABLE-01"
Phase 2 - Core Order Flow (Online),Order,ORDER-01C,Sebagai kasir saya ingin langsung lanjut ke pilih menu untuk order takeaway tanpa pilih meja agar prosesnya lebih cepat,"Order tersimpan status open, order_type=takeaway, table_id null, terhubung ke shift_id kasir yang sedang aktif",High,ORDER-01
Phase 2 - Core Order Flow (Online),Order,ORDER-02,Sebagai kasir saya ingin menambah/mengurangi item pesanan agar sesuai permintaan customer,"Item tersimpan dengan menu_name_snapshot & price_snapshot saat ditambahkan",High,"ORDER-01B,ORDER-01C"
Phase 2 - Core Order Flow (Online),Order,ORDER-03,Sebagai kasir saya ingin menambahkan catatan per item (misal 'tidak pedas') agar instruksi customer tersampaikan ke dapur,"Field notes tersimpan per order_item",Medium,ORDER-02
Phase 2 - Core Order Flow (Online),Order,ORDER-04,Sebagai kasir saya ingin memindahkan atau menggabung/split bill antar meja agar sesuai kebutuhan operasional,"Order bisa pindah table_id; split menghasilkan order baru dengan referensi asal",Medium,ORDER-02
Phase 2 - Core Order Flow (Online),Order,ORDER-05,Sebagai kasir saya ingin menutup meja secara manual setelah order lunas dibayar agar meja bisa dipakai customer berikutnya,"Tombol Tutup Meja hanya aktif jika order di meja tsb berstatus paid; bisa dilakukan kasir manapun yang shift aktif (tidak harus kasir yang buka order); meja kembali status available, current_order_id null; tercatat di audit_logs (action=close_table)",High,ORDER-04
Phase 2 - Core Order Flow (Online),Order,ORDER-06,Sebagai kasir saya ingin tahu bagaimana melepas meja jika order di-void/cancelled (bukan dibayar) agar meja tidak tertahan occupied selamanya,"Perlu keputusan bisnis lanjutan - saat ini close-table hanya menerima order berstatus paid, order void/cancelled belum punya jalur pelepasan meja",Medium,ORDER-05
Phase 2 - Core Order Flow (Online),Pricing,CALC-01,Sebagai sistem saya ingin menghitung subtotal, diskon, service charge, dan PB1 secara konsisten agar total yang dibayar customer akurat,"OrderCalculator service menghasilkan breakdown sesuai formula di 03-ERD.md §4; unit test mencakup kasus dengan & tanpa diskon",High,ORDER-02
Phase 2 - Core Order Flow (Online),Pricing,CALC-02,Sebagai kasir saya ingin memberi diskon manual dalam batas tertentu agar bisa memberi promo ke customer tanpa approval berlebihan,"Diskon di bawah threshold role langsung diterapkan; di atas threshold wajib approval PIN",High,CALC-01
Phase 2 - Core Order Flow (Online),Payment,PAY-01,Sebagai kasir saya ingin mencatat pembayaran (cash/QRIS/kartu) agar order berpindah status jadi paid,"Endpoint checkout menerima method & amount; order status berubah paid; grand_total tervalidasi ulang di server",High,CALC-01
Phase 2 - Core Order Flow (Online),Printing,PRINT-01,Sebagai kasir saya ingin melihat preview struk (soft-copy) sebelum cetak agar bisa memastikan data benar,"Komponen struk HTML menampilkan breakdown subtotal/diskon/service charge/PB1/grand total",High,PAY-01
Phase 2 - Core Order Flow (Online),Printing,PRINT-02,Sebagai kasir saya ingin mencetak struk ke printer thermal agar customer menerima bukti pembayaran fisik,"window.print() dengan CSS @media print ukuran 58mm/80mm berfungsi di browser target",High,PRINT-01
Phase 2 - Core Order Flow (Online),Printing,PRINT-03,Sebagai staff dapur saya ingin kitchen order tercetak otomatis saat order dikonfirmasi agar tahu apa yang harus dimasak,"Kitchen order tercetak terpisah dari struk customer, berisi item & catatan tanpa harga",Medium,ORDER-03
Phase 3 - Offline-First (PWA),Offline,OFF-01,Sebagai kasir saya ingin aplikasi kasir tetap terbuka & bisa dipakai walau tanpa internet agar operasional tidak berhenti,"Service Worker (Workbox) meng-cache seluruh asset aplikasi; app bisa dibuka offline",High,PRINT-02
Phase 3 - Offline-First (PWA),Offline,OFF-02,Sebagai kasir saya ingin data menu & harga tersimpan lokal agar tetap bisa input order saat offline,"Menu & harga di-cache ke IndexedDB (Dexie.js), refresh otomatis saat online",High,OFF-01
Phase 3 - Offline-First (PWA),Offline,OFF-03,Sebagai kasir saya ingin transaksi yang dibuat saat offline tersimpan lokal dengan UUID unik agar aman disinkronkan nanti,"Order & order_items tersimpan di IndexedDB dengan id UUID, status pending",High,OFF-02
Phase 3 - Offline-First (PWA),Offline,OFF-04,Sebagai kasir saya ingin melihat indikator status sinkronisasi (tersinkron/menunggu/gagal) agar tahu kondisi data saya,"UI menampilkan badge status per transaksi & status koneksi global",High,OFF-03
Phase 3 - Offline-First (PWA),Offline,OFF-05,Sebagai sistem saya ingin transaksi pending otomatis terkirim ke server saat koneksi kembali agar data outlet & pusat konsisten,"Endpoint /orders/sync menerima batch; idempotent berdasarkan UUID",High,OFF-03
Phase 3 - Offline-First (PWA),Offline,OFF-06,Sebagai sistem saya ingin server memvalidasi ulang perhitungan total dari client saat sync agar tidak ada manipulasi angka dari sisi kasir,"Jika total client vs server berbeda, order ditandai sync_status=conflict untuk review manual",High,OFF-05
Phase 3 - Offline-First (PWA),Offline,OFF-07,Sebagai manager saya ingin melihat daftar transaksi yang gagal sync berkepanjangan agar bisa ditindaklanjuti manual,"Dashboard menampilkan order dengan sync_status=pending lebih dari X menit",Medium,OFF-06
Phase 4 - Fraud Prevention & Audit,Audit,AUDIT-01,Sebagai sistem saya ingin mencatat setiap aksi sensitif (void, diskon, ubah harga, refund) ke audit log agar semua aktivitas bisa ditelusuri,"Model Observer otomatis menulis ke audit_logs; tidak ada endpoint update/delete untuk tabel ini",High,CALC-02
Phase 4 - Fraud Prevention & Audit,Audit,AUDIT-02,Sebagai supervisor saya ingin approval PIN untuk void setelah bayar agar kasir tidak bisa membatalkan transaksi sepihak,"Void setelah status paid wajib approved_by_pin valid & reason terisi",High,AUDIT-01
Phase 4 - Fraud Prevention & Audit,Fraud Alert,FRAUD-01,Sebagai sistem saya ingin menjalankan rule void rate tinggi per kasir per shift agar indikasi fraud terdeteksi otomatis,"Scheduled job menghasilkan fraud_alerts saat void rate melebihi threshold",Medium,AUDIT-02
Phase 4 - Fraud Prevention & Audit,Fraud Alert,FRAUD-02,Sebagai sistem saya ingin menjalankan rule diskon manual tinggi per kasir per shift agar indikasi fraud terdeteksi otomatis,"fraud_alerts tercipta saat total diskon kasir melebihi threshold",Medium,AUDIT-02
Phase 4 - Fraud Prevention & Audit,Fraud Alert,FRAUD-03,Sebagai sistem saya ingin mendeteksi selisih kas saat tutup shift melebihi toleransi agar cash skimming terdeteksi,"fraud_alerts tercipta otomatis dari SHIFT-02 saat cash_difference > toleransi",Medium,SHIFT-02
Phase 4 - Fraud Prevention & Audit,Fraud Alert,FRAUD-04,Sebagai sistem saya ingin mendeteksi gap pada nomor urut transaksi agar indikasi transaksi tak tercatat (off-bill) terdeteksi,"fraud_alerts tercipta saat order_number tidak berurutan tanpa log void terkait",Low,FRAUD-01
Phase 4 - Fraud Prevention & Audit,Fraud Alert,FRAUD-05,Sebagai manager saya ingin melihat dashboard semua fraud alert dan menandainya reviewed/dismissed agar tindak lanjut tercatat,"Endpoint list & update status fraud_alerts berfungsi; hanya role manager ke atas yang bisa akses",Medium,"FRAUD-01,FRAUD-02,FRAUD-03"
Phase 5 - Customer & Kitchen,Customer Self-Order,CUST-01,Sebagai customer saya ingin scan QR di meja untuk melihat menu digital agar bisa memesan tanpa menunggu kasir,"Scan QR membuka halaman menu sesuai outlet & meja terkait",Medium,MENU-02
Phase 5 - Customer & Kitchen,Customer Self-Order,CART-01,Sebagai customer saya ingin menambahkan item ke cart sebelum memesan agar bisa memilih beberapa menu dulu sebelum submit,"Cart tersimpan di local state + localStorage (key: qr_code_token); tambah/kurangi qty & hapus item berfungsi",Medium,CUST-01
